字,辅码
儥,rb
儦,rh
儩,rw
優,rw
儭,re
儯,rm
儰,rh
儱,rs
儲,ro
儳,rd
儴,ry
儵,rh
儶,rk
儷,rb
儸,rf
儹,rb
儺,rf
儻,rh
儼,rw
儽,rx
儾,ry
儿,pv
兀,ae
允,se
元,ee
兄,ke
充,we
兆,ed
兇,xe
先,ne
光,xw
克,ue
免,dv
兑,be
兒,je
兓,av
兔,dd
兕,ae
兖,we
兗,we
党,xe
兜,pe
兟,ne
兢,ue
入,pn
全,rw
兩,ar
八,pn
公,bs
六,wb
兮,bv
兰,bs
共,cb
关,bt
兴,xb
兵,qb
其,qb
具,qb
典,lb
兹,by
养,yl
兼,bn
兽,bk
冀,lb
冁,bn
冂,lv
冃,ke
内,ld
円,ka
冇,un
冈,kx
冉,la
冋,kk
册,pa
再,ar
冎,lk
冏,kk
冒,ko
冓,"ar,az"
冔,ky
冕,kv
冖,dv
冗,bj
冘,dv
写,by
冚,be
军,bi
农,dn
冞,bm
冟,bb
冠,bc
冡,bu
冢,bn
冣,by
冤,bd
冥,bb
冧,bm
冪,bj
冫,da
冬,wd
冮,dg
冯,dm
冰,du
冱,dh
冲,dv
决,dg
况,de
冶,dk
冷,ds
冹,dd
冺,dm
冻,dd
冼,de
冽,dd
冾,dk
冿,dy
净,dl
凃,dh
凄,dn
凅,dk
准,df
凇,ds
凉,dx
凊,do
凋,dk
凌,dw
凍,dd
凎,dj
减,dk
凐,dt
凑,dt
凓,dm
凔,dk
凕,db
凗,df
凘,dj
凙,dg
凚,dx
凛,dx
凜,dh
凝,dr
凞,dh
几,pv
凡,jd
凤,jy
凫,pj
凭,rj
凯,ej
凰,jw
凱,ej
凳,vj
凵,vl
凶,xk
凸,la
凹,la
出,vk
击,ak
凼,uk
函,lk
凿,yk
刀,vp
刁,va
刃,dd
刅,"rd,dd"
分,bd
切,qd
刈,xd
刊,gd
刋,pd
刌,cd
刍,de
刎,wd
刏,qd
刐,dd
刑,kd
划,gd
刓,ed
刔,gd
刕,dd
刖,od
列,dd
刘,wd
则,kd
刚,kd
创,rd
刜,fd
初,pd
刞,qd
删,cd
刡,md
刢,rd
判,bd
刨,bd
利,hd
别,kd
刬,jd
刭,vd
刮,qd
刯,ad
到,ad
刲,td
刳,dd
刵,ed
制,pd
刷,ud
券,jd
刹,xd
刺,ad
刻,wd
刽,rd
刿,ed
剀,ed
剁,jd
剂,wd
剃,bd
剄,ad
剅,ad
剆,dd
則,od
剈,kd
剉,rd
削,xd
剋,ud
剌,ud
前,bd
剐,kd
剑,rd
剒,cd
剔,od
剕,fd
剖,ld
剗,gd
剘,qd
剚,ud
剛,kd
剜,bd
剞,dd
剟,yd
剠,wd
剡,hd
剢,ad
剥,ed
剧,ud
剨,fd
剩,qd
剪,bd
剫,gd
剬,ed
剭,ud
剮,ld
副,ad
割,bd
剳,cd
剴,ed
創,rd
剶,vd
剸,ad
剹,xd
剺,wd
剻,ed
剼,sd
剽,xd
剾,kd
剿,vd
劀,sd
劁,rd
劂,id
劃,vd
劄,vd
劆,gd
劇,hd
劈,ud
劉,pd
劊,rd
劋,kd
劌,vd
劍,rd
劏,xd
劐,cd
劑,wd
劓,zd
劕,jd
劖,dd
劗,nd
劘,gd
劙,vd
力,vp
劜,lv
劝,yl
办,ld
功,gl
加,lk
务,wl
劢,wl
劣,ul
劥,wl
劦,ll
劧,ul
动,el
助,ql
努,nl
劫,tl
劬,bl
劭,dl
劮,ul
劯,ul
劰,bl
励,il
劲,vl
劳,cl
劵,jl
劶,pl
劷,yl
劸,tl
劺,sl
劻,kl
劼,ul
劽,dl
劾,wl
势,fl
勁,al
勂,nl
勃,ul
勆,dl
勇,sl
勉,dl
勋,kl
勌,jl
勍,wl
勏,ll
勐,zl
勑,ll
勒,gl
勓,bl
勔,ml
動,vl
勖,kl
勘,ql
務,sl
勚,ul
勛,kl
勜,bl
勝,ol
勞,hl
募,cl
勠,xl
勡,xl
勢,tl
勣,fl
勤,nl
勥,gl
勦,vl
勨,dl
勩,ul
勫,pl
勬,jl
勭,ll
勮,hl
勯,wl
勰,lx
勱,cl
勳,pl
勴,hl
勵,il
勶,il
勷,wl
勸,cl
勹,pv
勺,bd
勼,bj
勽,br
勾,bs
勿,bp
匀,bd
匄,bw
包,bs
匆,bd
匈,bk
匉,bp
匊,bm
匋,bf
匌,bk
匍,bf
匎,bd
匏,ds
匐,bt
匑,bg
匒,bk
匕,pv
化,rb
北,lb
匙,ob
匚,av
匜,ky
匝,kj
匟,kj
匠,kj
匡,kw
匣,kj
匤,ky
匦,kj
匧,kj
匨,ku
匪,kf
匫,ko
匬,kd
匭,kj
匮,kr
匯,kf
匰,kl
匱,kb
匴,kc
匵,kb
匷,kf
匸,av
匹,ke
区,kx
医,ku
匼,kk
匽,kn
匾,kc
匿,kk
區,kk
十,al
卂,vu
千,pu
卅,al
升,pc
午,pg
卉,uc
半,dl
卌,al
华,ru
协,ub
卐,vv
卑,pu
卒,wu
卓,lu
協,ul
单,bl
卖,ud
南,ug
卙,qu
博,uc
卜,ld
卝,la
卞,dx
卟,kb
占,lk
卡,ub
卢,lu
卣,la
卤,lx
卦,tb
卧,ib
卪,vd
卫,"ea,va"
卬,pe
卮,pv
卯,pe
印,pe
危,dv
卲,de
即,ge
却,te
卵,pd
卶,xe
卷,jv
卸,"we,pe"
卹,xe
卺,lv
卻,be
卼,wv
卾,ke
卿,pe
厀,me
厂,ap
厃,di
厄,iv
厅,id
历,il
厇,iq
厈,ig
厉,iw
厊,iy
压,id
厌,iq
厍,ii
厎,id
厏,iv
厓,it
厔,it
厕,id
厖,id
厗,iu
厘,il
厙,ii
厚,iz
厜,ii
厝,io
厞,if
原,ix
厠,id
厢,io
厣,ij
厤,ih
厥,ir
厦,iw
厧,ib
厨,ic
厩,iv
厬,ik
厭,iq
厮,ij
厱,ir
厲,iy
厴,ij
厶,vd
厷,us
厸,ss
厹,js
去,ts
厽,ss
厾,vs
县,qs
叀,as
叁,ss
参,sp
參,sp
叆,ey
叇,ez
又,vn
叉,yd
及,pn
友,uy
双,yy
反,py
叐,py
发,vd
叒,yy
叓,ay
叔,uy
叕,yy
取,ey
受,py
变,wy
叙,ry
叚,vy
叛,by
叟,py
叠,yq
叢,yy
口,la
古,uk
句,bk
另,kl
叨,kd
叩,ke
只,kb
叫,kl
召,dk
叭,kb
叮,kd
可,dk
台,sk
叱,kb
史,ln
右,uk
叴,jk
叵,kk
叶,ku
号,kv
司,vk
叹,ky
叺,kr
叻,kl
叼,kd
叽,jj
叿,kg
吁,ky
吂,wk
吃,kq
各,wk
吅,kk
吆,ky
吇,kz
合,rk
吉,uk
吊,kj
吋,kc
同,kk
名,xk
后,pk
吏,an
吐,kt
向,pk
吒,kq
吓,kx
吔,ky
吕,kk
吖,ky
吗,kk
吘,kw
吙,kh
吚,ky
君,yk
吜,ki
吝,wk
吞,tk
吟,kv
吠,kq
吡,kb
吢,xk
吣,kx
吤,kl
吥,kb
否,bk
吧,kb
吨,kt
吩,kd
吪,kb
含,rk
听,kj
吭,kj
吮,ke
启,hk
吰,ks
吱,ky
吲,kl
吴,kt
吵,ku
吷,kg
吸,kj
吹,kr
吺,ky
吻,kw
吼,kv
吽,kn
吾,wk
呀,ky
呁,kd
呃,kv
呄,nk
呅,kw
呆,km
呇,uk
呈,kw
告,nk
呋,kf
呎,ki
呏,ku
呐,kn
呒,kw
呓,kv
呔,kt
呕,kx
呖,kl
呗,kr
员,kr
呙,kn
呛,kv
呜,kw
呞,kk
呟,ky
呠,kb
呡,km
呢,kb
呣,km
呤,ks
呥,kr
呦,kl
呧,kd
周,kk
呪,ke
呫,kk
呬,ke
呭,ku
呮,kb
呯,kp
呰,vk
呱,kg
呲,kb
味,kw
呴,kk
呵,kk
呶,ky
呷,kj
呸,kp
呹,ku
呺,kv
呻,ku
呼,kh
命,re
呾,ka
呿,ks
咀,kq
咁,kg
咂,kj
咃,ky
咄,ki
咅,lk
咆,ks
咇,kb
咈,kf
咉,ky
咋,kv
和,hk
咍,kk
咎,wk
咏,ky
咐,kc
咒,kj
咓,kw
咔,kb
咕,kk
咖,kk
咗,kg
咘,kj
咙,kl
咚,kd
咛,kd
咝,"ks,ka"
咞,kk
咠,ke
咡,ke
咢,kk
咣,kw
咤,kq
咥,kt
咦,ky
咧,kd
咨,dk
咩,ky
咪,km
咫,ib
咬,kx
咭,kk
咮,kv
咯,kk
咰,ko
咱,kz
咳,kr
咴,kh
咵,kk
咶,kk
咷,kd
咸,xk
咹,kn
咺,ka
咻,km
咼,lk
咽,kd
咾,kb
咿,ky
哀,wy
品,kk
哂,kx
哃,kk
哄,kb
哅,kk
哆,kx
哇,kt
哈,kk
哉,uk
哊,ko
哋,ky
哌,kn
响,kk
哎,kx
哏,kg
哐,kw
哑,ky
哒,kz
哓,kw
哔,ku
哕,kx
哗,ku
哙,ks
哚,km
哝,kn
哞,kn
哟,ku
哠,kk
員,kb
哢,kc
哤,kd
哥,dk
哦,kw
哧,kd
哨,ko
哩,kl
哪,ke
哫,kr
哬,kk
哭,kq
哮,kz
哯,ke
哰,kn
哱,kz
哲,fk
哳,kj
哴,kl
哵,kd
哶,kg
哷,kc
哸,kn
哹,kz
哺,kf
哼,kl
哽,kg
哾,ke
哿,lk
唀,kn
唁,kk
唂,kk
唃,ky
唄,kb
唅,kk
唆,kw
唇,ik
唈,kb
唉,ku
唊,kj
唋,kh
唌,kz
唍,ke
唎,kd
唏,kj
唐,gk
唑,kt
唒,ky
唓,ki
唔,kk
唕,ku
唗,kr
唚,ky
唛,kw
唝,kr
唠,kl
唡,kl
唢,kr
唣,kq
唤,kd
唦,ku
唧,ke
唩,kn
唪,kl
唫,kj
唬,kj
唭,kb
售,rk
唯,kf
唰,kd
唱,ko
唲,ke
唳,kq
唴,kq
唵,kd
唶,ko
唷,ko
唸,kx
唹,kd
唺,kb
唻,kl
唼,kn
唽,kj
唾,ki
唿,kx
啀,kt
啁,kk
啂,kv
啃,ko
啄,kn
啅,ku
商,wk
啇,wk
啈,kg
啉,km
啊,kk
啋,km
啌,kg
啍,kz
啎,wk
問,mk
啐,ku
啑,kr
啒,ki
啓,hk
啕,kf
啖,kh
啗,kj
啘,kv
啙,vk
啚,kk
啛,kn
啜,ky
啝,kk
啞,ky
啡,kf
啢,kr
啣,ke
啤,ku
啥,kk
啦,kl
啧,kr
啨,ko
啪,kb
啫,ko
啬,uk
啭,kv
啮,kk
啰,kx
啳,kv
啴,kl
啵,ky
啶,kr
啷,ke
啸,ks
啻,wk
啼,kj
啽,kc
啾,kh
啿,kv
喀,kk
喁,ky
喂,kn
喃,kg
善,yk
喅,kl
喆,uk
喇,kd
喈,kb
喉,ku
喊,kk
喋,km
喌,kv
喍,km
喎,kk
喏,kk
喐,ke
喑,ko
喒,ko
喓,kn
喔,kt
喕,km
喖,kk
喗,ki
喘,ke
喙,ku
喛,ky
喜,uk
喝,kv
喟,ko
喠,kv
喡,kl
喢,kj
喣,kh
喤,kw
喥,ky
喦,ke
喧,ka
喨,kj
喪,un
喫,kd
喬,yk
單,kl
喯,kc
喰,kl
喱,kl
喲,ku
喳,ka
喴,kn
喵,kt
喷,kr
喹,kt
喻,kd
喽,kn
喾,xk
喿,km
嗀,uy
嗂,kf
嗃,kk
嗄,kw
嗅,kq
嗆,kk
嗇,uk
嗈,kb
嗉,kx
嗊,kb
嗋,ko
嗌,km
嗍,ko
嗎,km
嗏,km
嗐,kk
嗑,km
嗒,kk
嗓,km
嗔,kb
嗕,kc
嗖,ky
嗗,kg
嗘,kd
嗙,kf
嗚,kw
嗛,kn
嗜,ko
嗝,kl
嗞,ky
嗟,kg
嗡,kx
嗢,km
嗣,kk
嗤,ki
嗥,ku
嗦,kx
嗨,km
嗩,kb
嗪,kh
嗫,ky
嗬,kk
嗯,kx
嗲,kx
嗳,ky
嗵,kz
嗶,kl
嗷,kw
嗹,kz
嗺,kf
嗻,kh
嗼,kd
嗽,kr
嗾,ku
嗿,kb
嘀,kk
嘁,kx
嘂,kk
嘃,kl
嘄,km
嘅,kv
嘆,kn
嘇,kp
嘈,ko
嘉,uk
嘌,kx
嘍,kn
嘎,kg
嘏,uy
嘐,kp
嘑,kh
嘓,ka
嘔,kk
嘕,kh
嘖,kb
嘗,xo
嘘,ky
嘙,kn
嘚,kc
嘛,km
嘜,kw
嘝,ku
嘞,kl
嘟,ke
嘡,kt
嘢,kl
嘣,ko
嘤,kn
嘦,kn
嘧,ke
嘩,kl
嘪,kb
嘫,kh
嘬,ky
嘭,kp
嘮,kl
嘯,kl
嘰,kd
嘱,ky
嘲,ko
嘳,kb
嘴,ky
嘵,kw
嘶,kj
嘸,kh
嘹,kx
嘺,kk
嘻,kk
嘼,kk
嘽,kl
嘾,ku
嘿,kh
噀,kb
噁,kx
噂,kc
噃,kt
噅,kh
噆,ko
噇,kl
噈,ky
噉,kw
噊,kk
噋,kw
噌,ko
噍,kh
噎,ka
噏,kx
噒,kl
噔,ka
噗,kn
噘,kr
噙,kd
噚,kc
噜,ko
噝,kx
噞,kr
噠,kz
噡,kk
噢,kd
噣,ki
噤,kx
噥,kn
噦,kp
噧,ky
器,kk
噩,wk
噪,km
噫,kx
噬,kr
噭,kw
噮,ky
噯,kw
噰,kf
噱,ku
噲,ko
噳,kt
噴,kb
噵,zk
噶,kv
噷,kr
噸,kb
噹,kt
噻,kt
噼,ku
噿,ku
嚀,kd
嚁,kf
嚂,km
嚃,kz
嚄,ky
嚅,ke
嚆,kk
嚇,kd
嚈,kq
嚊,kl
嚋,kc
嚌,ka
嚍,km
嚎,ku
嚏,kr
嚐,ko
嚓,kx
嚔,kr
嚕,ko
嚖,kx
嚗,ku
嚘,kw
嚙,kk
嚚,kk
嚛,km
嚜,kt
嚝,kb
嚟,ku
嚣,kk
嚥,kh
嚦,kv
嚧,km
嚨,ks
嚩,kc
嚫,ke
嚬,kb
嚭,uk
嚮,xk
嚯,kf
嚱,kg
嚲,wl
嚳,pk
嚴,kw
嚵,kd
嚶,kn
嚷,ky
嚹,kh
嚼,kc
嚽,kb
嚾,kf
嚿,kj
囀,kc
囁,ke
囂,kk
囃,kf
囅,kn
囆,ki
囈,ks
囉,kf
囊,ay
囋,kb
囌,kh
囐,kq
囑,ki
囓,kk
囔,ky
囗,la
囚,kr
四,ke
囜,ks
囝,kz
回,kk
囟,px
因,kd
囡,kn
团,kc
囤,kt
囥,kj
囧,kv
囨,kb
囩,ks
囫,kw
园,ke
囮,kb
困,km
囱,pw
囲,kj
围,kw
囵,kb
囷,kh
囹,ks
固,kk
国,ky
图,kd
囿,ko
圁,kk
圂,ku
圃,kf
圄,kk
圆,kr
圇,kc
圈,kv
圉,kg
圊,ko
國,ka
圌,ke
圍,kl
圐,kf
園,ky
圓,kb
圔,km
圖,kk
團,kc
圙,km
圚,kb
圛,kg
圜,ky
圝,kd
土,ua
圠,tv
圢,td
圣,yt
圥,"uw,te"
在,ut
圩,ty
圪,tq
圫,tq
圬,tk
圭,tt
圮,tj
圯,ts
地,ty
圱,"pt,qt"
圲,tq
圳,ti
圴,tu
圵,tu
圶,dt
圹,tg
场,tp
圻,tj
圾,tj
圿,tl
址,tv
坁,tu
坂,ty
坄,ty
坅,tv
坆,tw
均,td
坈,tj
坉,tt
坊,tf
坋,td
坌,bt
坍,td
坎,tr
坏,tb
坐,rt
坑,tj
坒,bt
坓,jt
坔,ut
块,tg
坚,lt
坛,ts
坜,tl
坝,tr
坞,tw
坟,tw
坠,et
坡,ty
坢,tb
坤,tu
坥,tq
坦,ta
坨,tb
坩,tg
坪,tp
坫,tk
坬,tg
坭,tb
坯,tp
坰,tk
坱,ty
坲,tf
坳,tl
坴,tt
坶,tm
坷,tk
坹,tb
坺,td
坻,td
坼,ti
坽,ts
坾,td
坿,tc
垀,th
垁,tu
垂,pa
垃,tl
垄,lt
垆,tu
垈,rt
垉,ts
型,kt
垌,tk
垍,tz
垎,tk
垏,ty
垐,dt
垑,tx
垒,st
垓,tr
垔,xt
垕,pt
垗,td
垘,tq
垙,tw
垚,tt
垛,tm
垝,tv
垞,tq
垟,ty
垠,tg
垡,rt
垢,tk
垣,ta
垤,tt
垥,tk
垦,gt
垧,tk
垩,yt
垫,ft
垬,tb
垭,ty
垮,tk
垯,tz
垱,te
垲,tj
垴,tk
垵,tn
垶,tu
垷,te
垸,te
垹,te
垺,tz
垻,tb
垽,dt
垾,tg
垿,tl
埁,tv
埂,tg
埃,tu
埄,tf
埅,et
埆,ty
埇,ty
埈,tw
埉,tj
埋,tl
埌,tl
埍,to
城,ti
埏,tz
埐,ty
埒,tc
埔,tf
埕,tw
埗,tp
埘,tc
埙,tr
埚,tn
埜,mt
埝,tx
域,ta
埠,tu
埡,ty
埢,tv
埣,tu
埤,tu
埥,to
埦,tv
埧,tb
埨,tc
埩,tl
埪,tg
埫,tk
埬,td
埭,tn
埮,th
埯,td
埰,tm
埱,ty
埲,tl
埳,tj
埴,tq
埵,ti
埶,tw
埸,tw
培,tk
基,qt
埻,tz
埼,tk
埽,tj
埾,et
埿,dt
堀,ti
堁,tg
堂,xt
堃,ft
堄,te
堅,it
堆,tf
堇,na
堈,te
堉,to
堊,yt
堋,to
堌,tk
堍,td
堎,tw
堐,tt
堑,it
堓,tg
堕,et
堖,tx
堗,tq
堙,tt
堛,tt
堜,tj
堝,tk
堞,tm
堟,tu
堠,tu
堡,rt
堢,tm
堣,ty
堤,tr
堥,st
堧,td
堨,tv
堩,ta
堪,tv
堫,tw
堬,td
堭,tw
堮,tk
堯,tw
堰,tn
報,ty
堲,gt
堳,to
場,tw
堵,to
堶,to
堷,to
堸,ti
堹,tv
堺,tl
堻,dt
堼,tt
堽,tv
堾,to
堿,tk
塀,tk
塂,ts
塃,tv
塄,tf
塅,ty
塆,tg
塇,ta
塈,gt
塉,to
塊,tg
塋,ht
塌,tx
塍,ot
塎,tk
塏,ta
塑,bt
塒,tc
塓,tb
塔,tk
塕,tx
塗,dt
塘,tk
塙,tk
塚,tn
塜,"tn,tu"
塝,tf
塞,bt
塠,tz
塢,tw
塣,dt
塤,tb
塥,tl
塧,tm
塨,tx
填,tb
塬,tx
塮,tc
塯,tt
塱,dt
塲,tw
塳,tz
塴,to
塵,gt
塶,tb
塸,tk
塹,it
塺,gt
塻,td
塼,tc
塽,tx
塾,wt
塿,tn
墀,tn
墁,ty
墂,tx
境,te
墄,tx
墅,lt
墆,tj
墈,tl
墉,tl
墊,tt
墋,tp
墌,th
墎,te
墏,pt
墐,ta
墑,tk
墒,tk
墓,ct
墔,tf
墕,th
墘,tq
墙,tk
墚,tm
墜,et
墝,tw
增,to
墟,ty
墠,tl
墡,tk
墢,ty
墣,tn
墤,tb
墥,tl
墦,tt
墧,tk
墨,ht
墩,tw
墫,tc
墭,tm
墮,et
墯,xt
墱,ta
墲,th
墳,tb
墶,tz
墷,tl
墺,td
墻,tk
墼,it
墽,tw
墾,vt
墿,tg
壁,ut
壂,ut
壅,wt
壆,pt
壇,ta
壈,th
壉,tu
壋,tt
壍,dt
壎,th
壏,tm
壑,lt
壒,tm
壓,it
壔,tc
壕,tu
壘,tt
壙,tb
壚,tm
壛,tj
壜,ts
壝,tz
壞,ty
壟,lt
壢,tv
壣,tl
壤,ty
壨,tt
壩,to
壪,tg
士,ua
壬,pu
壮,du
壯,pu
声,up
壳,uj
壴,ua
壶,uy
壸,uy
壹,ua
壺,ua
壻,to
壼,uy
壽,uc
壾,uj
夂,py
夃,ny
处,wb
夆,wf
备,wt
夊,pn
夋,sw
夌,tw
复,pw
夎,rw
夏,aw
夐,dw
夒,aw
夔,bw
夕,pd
外,xb
夗,xv
夘,xe
夙,jd
多,xx
夜,wn
夝,xu
够,bx
夠,xk
夡,xk
夢,cx
夤,xb
夥,gx
夦,qx
大,un
夨,an
天,ad
太,dd
夫,an
夬,vn
夭,pd
央,lg
夯,dl
夰,dl
失,pf
夲,du
头,dd
夵,dx
夷,an
夸,dk
夹,an
夺,dc
夼,di
夽,ds
夾,dr
夿,db
奀,bd
