anan	𩽾
duhd	黩
duai	蠹
dvyx	怼
dakz	哒
diyr	𬱖
dotm	垛
duuo	督
dujy	镀
dckd	叨
erke	咡
eexk	愕
eeek	阿
eraa	耳
eryr	贰
erre	佴
eeiv	厄
enkx	嗯
fucf	芙
fuuf	砆
fads	法
famg	阀
ffbd	分
ffkd	吩
ffmd	粉
ffcd	芬
fgdm	冯
fgfl	奉
fgif	蜂
fhfw	放
fhnf	妨
fhof	肪
fhrf	仿
fhyf	访
fjhr	烦
fjjd	凡
fjky	贩
fjpx	翻
fjuf	矾
fuad	副
fupj	凫
fwfw	斐
fwgd	废
fuan	夫
fubt	富
fuff	扶
fuhw	馥
fugc	府
fufw	敷
fuif	辅
fuof	脯
furc	付
furc	俯
fuvl	弗
fumc	驸
fwkf	匪
fwmf	榧
fwnj	妃
fwyf	诽
ffsd	纷
fukv	赋
ffdd	汾
ffwd	玢
fhif	彷
fhmf	枋
fhvf	舫
fjjf	钒
fjmd	樊
fjmf	梵
fuiz	蜉
fuyb	讣
fuzc	跗
fwbf	痱
fgkl	唪
favg	筏
gaiv	轧
geuk	硌
gejk	铬
ggmg	梗
grgr	贯
goug	馃
gskr	唝
gcjk	镐
gcyh	羔
gdym	盖
gedr	歌
gemk	格
gemk	阁
gepk	袼
ghfg	缸
gjmg	杆
gjog	肝
gopj	虢
gjtg	赶
gjvw	敢
gojn	锅
gozc	过
grbk	官
grye	观
grff	罐
grmk	棺
grxr	惯
gsgr	贡
gsgu	汞
gsug	躬
gubk	谷
gudk	沽
gukk	固
gunk	姑
guoy	股
guuy	鼓
guxr	贾
gvdv	龟
gvle	归
gvmt	桂
gvyv	诡
gvzv	跪
gzds	沟
gzgr	鞲
ghjx	钢
gcmk	槁
gcjk	锆
gcvk	篙
gchk	稿
gggn	庚
ggtg	埂
ghmg	杠
gjdj	淦
grce	莞
gslb	龚
gujk	钴
guyk	诂
gvgy	庋
gvvt	癸
gxkd	剐
gxmk	栝
gyuy	磙
gzmk	枸
gjbg	疳
ghvg	筻
goba	馘
gdng	戤
goig	蜾
gjxx	感
hsux	翃
hsls	竑
hegv	鞨
hjmw	阚
hvex	隳
hehk	熇
hccc	薅
hckv	号
hexk	翯
hclm	耗
hcvk	貉
hcwu	豪
hcjk	镐
hdbk	害
hdzb	还
hdqr	氦
heck	荷
hedk	河
hemr	核
herk	合
hgii	衡
hfqg	狠
hfxg	恨
hhii	行
hhmj	杭
hkxb	怀
hhvj	航
hjfg	捍
hkik	徊
hlbw	皇
hlhw	煌
hliw	蝗
hljw	凰
hlxw	恍
hlyv	谎
hobk	豁
hogx	惑
hrbi	宦
hrdd	涣
hrhd	焕
hrsy	缓
hryr	欢
hudh	沪
hudu	户
hufh	护
huhj	虎
huuo	胡
hvdk	汇
hvhx	秽
hvrs	会
hvuh	灰
hvxm	悔
hvss	绘
hxdg	滑
hxgd	划
hxmu	桦
hzru	候
hzmu	糇
hekk	嗬
hcbk	皓
hcdu	濠
hdgr	骸
hedk	涸
heyk	诃
hjig	蚶
hldw	湟
hjek	崡
hjge	邯
hlew	隍
hrju	豢
hscb	蕻
hsds	泓
hsiy	轰
hudu	斛
huxk	怙
hvhs	烩
hvwi	珲
hxju	铧
hxmu	骅
hywi	珲
hzbu	瘊
hzzk	齁
hsxb	黉
hzju	𬭤
izmi	杻
ichu	焯
isxv	忡
igww	珵
ijil	蝉
ijud	馋
ijxq	忏
iipd	斥
iiwu	漦
ilkl	噇
iuic	厨
isce	茺
iafj	插
iama	查
icfu	抄
ichu	炒
icsu	绰
ictk	超
iefw	撤
ieti	坼
ifpc	衬
ifyj	谶
igfu	撑
igyi	诚
ihpn	长
icvg	巢
icku	吵
icdo	潮
iidy	池
iini	媸
iirx	侈
iivk	齿
iizi	迟
ijji	铲
ijkl	啴
ijpl	禅
ilmm	闯
irke	喘
iswe	充
irby	穿
iudi	触
iujl	锄
iupd	初
iuui	础
iydz	淳
iyyz	醇
izhx	愁
iitd	赤
iajx	镲
iaka	喳
iaua	碴
iclu	耖
idji	钗
ifdj	沉
ieui	砗
iffu	抻
igot	瞠
ihci	苌
ihik	徜
ihxm	氅
iicu	茌
iiki	嗤
iivi	蚩
ijdi	浐
ijdz	潺
ijyj	谄
iozu	踔
irqi	氚
isfj	舂
ishv	种
isxl	憧
iusi	绌
iuxu	怵
iymo	椿
iywn	鹑
izxk	惆
ivmz	槌
icxk	怊
igji	铖
ijhl	𬊤
jbhd	烬
jydv	龟
jytj	鋆
jkcd	荆
jrso	绢
jqmj	柩
jifl	挤
jrjo	眷
jmlm	监
jbdy	津
jbid	尽
jbll	巾
jbvl	劲
jbya	谨
jbzj	近
jbjj	锦
jiak	击
jibk	寄
jico	藉
jidx	急
jidk	奇
jige	即
jiho	稽
jijx	忌
jike	唧
jilb	冀
jimj	机
jinu	嫉
jipn	及
jipx	系
jiqt	基
jisj	级
jisv	继
jiie	辑
jitj	圾
jivv	己
jiyj	记
jiyu	计
jizd	迹
jkig	径
jkle	竟
jklo	靖
jkmo	精
jkoo	晶
jkue	兢
jkvl	劲
jkwx	京
jkxx	惊
jldc	将
jlua	礓
jlyj	讲
jmci	茧
jmbh	煎
jmbn	兼
jmdj	溅
jmdk	减
jmfa	捡
jmgz	鞯
jmho	肩
jmke	见
jmlt	坚
jmma	检
jmmm	槛
jmmo	间
jmrn	件
jnch	蕉
jnix	较
jnkl	叫
jnnl	娇
jnrh	焦
jnuh	礁
jnvd	剿
jnyz	酵
jpfn	接
jpdk	洁
jpgc	戒
jphk	秸
jpii	街
jplv	竭
jptl	界
jpyc	诫
jqbj	究
jqbj	疚
jqjl	舅
jqwj	玖
jrjv	卷
jtdg	决
jtsb	绝
jtwg	玦
jtug	砄
jubk	句
judq	沮
jufj	拒
jufk	据
jujk	锯
jumk	桔
jumk	橘
juqb	具
juuk	局
juvq	龃
juxb	惧
juxl	举
juzj	距
jxbu	家
jxcj	荚
jxdj	浃
jxhu	稼
jxjj	钾
jxlk	加
jxlm	架
jxnu	嫁
jxry	假
jxuk	嘉
jyhw	焌
jymw	骏
jyyk	君
jsoh	炅
jbnv	妗
jbso	缙
jbsv	矜
jiee	觊
jihe	嵇
jimb	骥
jiug	戟
jicd	蓟
jivj	笈
jiwj	玑
jkoo	腈
jkxx	憬
jkdl	净
jman	柬
jmro	僭
jmyg	戬
jmyj	谏
jnbk	窖
jnbw	敫
jnel	峤
jnjx	铰
jpxm	桀
jpyk	诘
jpuf	截
jqfh	揪
jshk	炯
jthc	爝
jucj	苣
jujb	飓
jupk	裾
jutq	趄
juwk	琚
jxij	蛱
jxju	镓
jxmk	枷
jxzk	迦
jygh	麇
jylw	竣
jybi	军
jkzg	迳
juyu	醵
jilv	乩
klyw	诳
keue	克
kdhl	炌
kgug	硁
kakk	咖
kclv	考
kebk	客
kedv	渴
kegr	颗
kehu	科
kemg	棵
ketk	坷
kewd	刻
kepk	牁
khhj	炕
kvjz	馗
kkrs	会
kumk	枯
kzke	叩
komk	阔
kgtj	坑
kubi	窟
kakk	咯
kcuj	尻
kexk	恪
klkw	匡
kszv	孔
kudd	刳
kuxk	喾
kvot	睽
kvzt	逵
kdtj	垲
kfgx	恳
keik	轲
labd	瘌
lcjb	铑
lddr	濑
luvu	箓
lvqu	氯
lian	吏
lkts	坽
lkmw	棱
lrdm	滦
llxl	悢
luxl	勠
lnxx	憭
levl	簕
ldil	徕
lngp	廖
lnyu	尥
lsle	聋
lcyk	酪
lgds	冷
lcbn	牢
lhhl	烺
libd	痢
licd	莉
licl	荔
lidd	漓
lihd	利
liil	历
liil	厘
likl	哩
lird	例
liul	砾
liwd	离
liwd	璃
lixm	栗
ljle	览
ljse	缆
ljyj	谰
lkes	岭
lkvs	龄
lkrs	令
lkys	零
lkys	羚
llcl	莨
lldm	梁
lldm	粱
llrl	俩
llwj	亮
llyx	谅
lmbj	帘
lmsd	练
lmmj	楝
lmzi	连
lnbl	疗
lodk	洛
lpdd	列
lpkd	咧
lqdv	流
lquv	硫
lsbu	窿
lsol	胧
luch	芦
lukk	赂
lulu	卢
lusu	绿
luuu	碌
luyk	露
lvhx	虑
lvjk	铝
lwct	蕾
lwgl	勒
lyrb	伦
lzdy	漏
lzmn	娄
lbmm	林
lcpd	乐
lndx	潦
lbil	辚
lekl	嘞
lhcl	莨
lijl	锂
lile	郦
liln	鹂
liml	骊
lirl	俚
livi	蠡
lizl	逦
ljdm	滥
ljpm	褴
lkds	泠
lkks	呤
lkks	囹
llil	辆
llgl	魉
lmda	殓
lowf	雒
lpzv	躐
lqmt	骝
lqjt	镏
lrwn	鸾
ludu	泸
luou	胪
luiu	轳
lumo	橹
lutu	垆
lwkl	嘞
lzrn	偻
lbol	瞵
lgmf	楞
lpav	鬣
lqxn	鹨
lzjn	镂
mcsi	蝥
mill	芈
mngy	庙
makm	吗
makm	嘛
manm	妈
mbww	玟
mava	马
mcve	貌
mgco	萌
mgjm	锰
mhcw	芒
mhdc	漭
mibi	蜜
midm	米
migx	弥
mimw	敉
miom	眯
miyz	谜
mkjk	铭
mkyk	酩
mkxk	名
mmav	丏
mmdv	免
mmxm	愐
mnmu	杪
mobd	寞
mocu	蘑
modd	漠
mody	没
mogu	摩
mogu	磨
munm	姆
mwgw	魅
mwmw	枚
mwnm	媒
mwpm	每
mwww	玫
mwym	霉
mhxw	忙
mnhu	秒
mdcd	荬
mgvu	艨
migm	麋
mjjy	幔
mjsy	缦
mmom	眄
mmom	眠
mnsu	缈
molu	耱
monm	嬷
mwbw	寐
mnuu	淼
mwdy	没
mwpg	袂
mwvo	眉
mjay	鳗
mamm	杩
mclm	耄
najn	钠
nake	哪
naru	拿
nane	娜
nave	那
nbrx	恁
ncxk	恼
niye	霓
njug	南
njig	蝻
nlnl	娘
nkdr	凝
nmfi	撵
nmhk	黏
nndd	溺
nsdn	农
nwke	哪
nqni	妞
ndre	佴
nkkd	咛
npjm	镍
nqqi	狃
nunx	怒
oukx	呕
pajb	帕
pwyj	配
pavb	爬
pcds	泡
pchs	炮
pcps	袍
pdfb	拍
pddn	派
pgup	彭
phgl	庞
phif	螃
piku	啤
piou	脾
piru	僻
piub	屁
pimb	枇
pivy	皮
piyu	霹
pjvm	盘
pkbw	瓶
pkcp	萍
pmhc	扁
pnxx	票
pnxx	飘
pucf	蒲
pucf	莆
pudu	瀑
puou	曝
pidl	淠
pbnb	嫔
pcks	咆
pdrf	俳
pipe	郫
pmyc	谝
pojb	钋
pomb	粕
pkdk	洴
pkrv	俜
qqdv	龟
qldc	将
qkcu	擎
qnmm	橇
qrrw	佺
qkwl	勍
qber	嵚
qbfh	秦
qqjq	𨱇
qrwu	瑔
qujk	鼩
qukx	区
qqkr	囚
qqgy	鞧
qups	祛
qblm	亲
qbry	侵
qidm	柒
qidu	漆
qiej	岂
qihk	启
qimb	棋
qimk	骑
qipj	祈
qiud	砌
qipv	气
qiqr	欺
qitj	起
qkig	轻
qkdo	清
qklm	亲
qkvo	箐
qlyv	羌
qlhv	炝
qltk	墙
qmdj	浅
qmhv	黔
qmjk	铅
qmbd	前
qnbv	窍
qpfu	挈
qqhh	秋
qqiq	蚯
qqrj	仇
qrbu	泉
qrju	拳
qryl	劝
qtbr	瘸
qtxu	𬒈
qubf	癯
qudm	渠
qumx	驱
quts	去
quui	屈
qbnl	勤
qbsv	矜
qbjr	钦
qicj	蕲
qicj	芑
qiil	蛴
qilo	耆
qiqx	憩
qizd	蹊
qkhx	黥
qkuu	磬
qlji	镪
qmbm	骞
qmxn	慊
qqvv	巯
qqmq	糗
quiq	蛆
quwu	璩
quyi	诎
rfsr	纫
rfdd	刃
rfir	轫
rfrr	任
rfyr	认
rhty	壤
rhyu	让
rjdm	染
rsbk	容
rujk	铷
rzmm	糅
ruic	辱
rfhx	稔
scdi	溞
sike	四
sdbt	塞
seuk	啬
sikj	嘶
sivk	司
siwu	漦
sslu	竦
ssys	讼
suxm	粟
suyh	酥
svez	随
svhx	穗
svuu	碎
svzu	遂
sewb	瑟
siij	厮
sijx	锶
silk	耜
ssds	淞
sudu	涑
svhz	燧
szjy	飕
tauo	沓
tddd	太
tsny	㛚
tjuh	碳
tcdc	涛
tcyc	讨
tdzk	跆
thtk	趟
thxt	堂
tjrr	贪
tjta	坦
tjff	摊
tjyu	谭
tkid	厅
tkkj	听
tkdd	汀
tmwb	瑱
tmxk	恬
tmob	腆
tnod	眺
tofu	拓
tojb	铊
tomb	驼
tomo	椭
tpkk	贴
tsdp	彤
tsjk	铜
tskk	同
tsmk	桐
tsol	瞳
tsse	统
tukd	图
tuua	土
tuzh	途
tvhr	颓
tvie	蜕
tytk	吞
tzdd	头
tudh	涂
tjyh	谈
tadx	溻
tajb	铊
tamx	榻
tazx	遢
tcff	掏
tczd	逃
thyh	羰
tijp	锑
tikr	嚏
tixp	悌
tiyr	醍
tjhe	郯
tjxu	覃
tjdk	澹
tktd	町
tkyz	霆
tsyk	酮
tsxl	恸
tujt	钍
tejx	铽
tnvk	龆
tuyh	酴
tumh	𬳿
tany	她
ugvu	笙
ujtz	埏
uidr	湜
uued	隃
ufmv	椹
ujmr	闪
uadu	沙
uamp	杉
ucho	稍
ucxp	少
udvj	筛
ueqk	舌
ufdm	深
ufqv	甚
ufru	什
ucbd	勺
ucgo	鞘
ufru	伸
ufsu	绅
ufxb	慎
ufou	胂
ugnu	牲
ugou	胜
ugyt	圣
uhxk	尚
uhxy	裳
uial	事
uibd	实
uidy	湿
uifk	拾
uimu	驶
uirl	使
uiui	蚀
uiwj	市
uiyg	式
ujhx	扇
ujhx	煽
ujyk	善
ujjp	钐
ukiu	蟀
uklj	帅
uuco	薯
uldx	爽
uohl	烁
uobo	朔
uudc	澍
uuid	输
uull	竖
uumw	数
uuoo	暑
uuuy	属
uuvd	书
uuzu	述
uvyf	谁
uzwh	熟
uabu	痧
ucvo	艄
ueii	厍
ufuu	砷
ufyx	谂
ufii	蜃
ufll	申
ugdd	渑
uhdp	殇
uhhk	熵
uhtk	墒
uico	蓍
uiig	轼
uiqu	舐
uiru	什
uiti	螫
uivi	虱
ujbl	单
ujdo	潸
ujve	舢
ujlk	山
uauu	砂
ukfu	摔
uoco	蒴
uuan	束
uuhu	黍
uunv	姝
uurq	倏
uvln	水
uzsy	绶
ufkx	哂
ugen	嵊
ufwu	珅
vafv	扎
vedj	浙
vefi	蜇
vfuk	砧
visu	纸
vlvd	奘
vdbv	窄
vada	渣
vahv	炸
vaiv	轧
vamv	榨
vcdk	召
vcfg	找
vchy	肇
vcpn	爪
vcuo	朝
vefj	折
vhlu	章
vfbp	疹
vflr	贞
vhiu	蟑
vfjb	镇
vgfa	拯
vgql	狰
vguv	整
vgvl	筝
vheu	障
vhmu	樟
vhxu	掌
vibo	旨
vicv	芝
vidk	治
vidu	汁
vihu	秩
vijb	帜
vipd	制
viuk	知
viuo	智
viyb	识
vjdk	沾
vjjm	盏
vjlk	占
vjlk	站
vjmk	粘
vodi	浊
vohu	灼
volu	卓
vshv	种
vsjv	钟
vsll	中
vszv	踵
vudv	注
vudw	主
vuiv	蛛
vumv	株
vumv	柱
vurv	住
vuvf	筑
vuzu	逐
vulh	煮
vvmf	椎
vyii	衠
vyyz	谆
vzxe	㤘
vzdl	州
vzkj	咒
vzkk	周
vzgg	粥
vifu	挚
vcmu	棹
vcvv	笊
vcyk	诏
vfch	蓁
vfmv	枕
vjyk	谵
vldu	壮
vfdh	溱
vhbu	瘴
vhwu	璋
viib	咫
vimb	枳
vize	踯
vjch	蘸
vjdv	湛
voph	禚
voyu	酌
vrer	颛
vrvu	篆
vsbn	冢
vudo	渚
vzye	诌
vixy	忮
vvrf	隹
watg	畖
wjpd	丸
wwbn	痿
wwdd	为
wjer	顽
wapm	袜
wdxb	外
wfbm	瘟
wfhx	稳
wfmk	问
wfwx	文
whww	望
wjbe	完
wjov	晚
wucw	芜
wudk	污
wugr	巫
wumk	梧
wunw	物
wurw	伍
wuwk	吾
wuxk	悟
wuyr	诬
wuyt	误
wwan	未
wwcw	薇
wwdv	危
wwow	韪
wwxn	威
wweg	巍
wwhn	委
wwkw	味
wwqn	猥
wwrw	伟
wwtn	畏
wwto	胃
wwww	玮
wala	凹
whmw	枉
wjuv	碗
wjxv	惋
wusn	婺
wutk	圬
wuzw	迕
wwcn	葳
wwmw	闱
wwnm	娓
xybo	旬
xbhj	炘
xide	洗
xmvy	舷
xbyj	䜣
xuoy	冔
xxvy	叚
xryy	𫍽
xlcs	巷
xqyi	羞
xbuo	馨
xbdd	心
xbju	锌
xblu	辛
xbxb	衅
xigj	席
xihj	稀
xihx	熄
xikj	吸
xinx	媳
xiou	膝
xipd	夕
xipx	系
xirx	翕
xiuk	喜
xkmk	杏
xknu	姓
xkou	星
xkqu	猩
xkxu	惺
xkxu	性
xkyu	醒
xlgr	项
xlho	香
xlkk	响
xlyy	详
xmii	衔
xmsj	线
xndo	消
xnuo	硝
xnvs	箫
xnzo	逍
xnww	效
xpdi	蟹
xppm	血
xpxn	懈
xpdu	泄
xpmc	械
xpru	斜
xpve	些
xpyb	谐
xpyc	谢
xrba	宣
xpsu	绁
xqjn	锈
xrig	轩
xrwy	玄
xrka	喧
xroy	眩
xrze	选
xsbk	匈
xsuf	雄
xsxk	凶
xtpm	血
xtxd	削
xtye	雪
xuih	徐
xuno	婿
xupr	须
xuty	墟
xuxx	恤
xxrj	侠
xxqj	狭
xxyy	霞
xydo	殉
xyio	循
xymi	驯
xyzu	迅
xmxk	咸
xuwt	畜
xioj	晞
xink	嬉
xipd	奚
xiux	硒
xkci	荇
xlmo	相
xlxl	飨
xmcy	藓
xmre	仙
xmde	冼
xmee	岘
xmie	蚬
xmnm	娴
xmmm	闲
xmyr	羡
xmzz	跹
xncs	萧
xngo	魈
xnks	啸
xnmw	骁
xnpm	枭
xnso	绡
xqui	馐
xtku	噱
xtya	谑
xuky	嘘
xxfh	罅
xxhk	黠
xxuj	硖
xyyh	醺
xufu	砉
xrry	儇
xsyk	讻
xuhy	虚
xyhc	𬊈
xnlz	孝
ybwg	珢
ybjg	银
yckx	咬
yuad	彧
ysyr	颙
yisc	异
yziy	蚰
ykwf	嬴
yrmu	橼
ytdc	瀹
yuht	虞
yyhm	馧
yyld	韵
yupd	禹
yian	夷
yihh	燚
ythc	爚
yaii	衙
yaky	呀
yayy	讶
yaqy	氩
ybgl	引
yimk	椅
ybco	荫
ybil	蚓
ybkd	因
ybkv	吟
ycff	摇
ycsu	约
ycxn	要
yedn	液
yhby	痒
yhdy	洋
yhdy	漾
yhhy	秧
yhmp	杨
yhqy	氧
yibm	益
yidm	溢
yife	抑
yihx	移
yiiy	役
yily	毅
yiry	伊
yiry	依
yiua	壹
yivv	已
yiwd	亦
yjwk	言
yixb	翼
yixk	怡
yiyy	议
yjdb	演
yjdd	淹
yjfb	艳
yjhd	烟
yjii	衍
yjir	颜
yjmk	檐
yjnh	燕
yiow	易
yjyp	严
yjzv	延
ykbr	颖
yjry	俨
ykcy	英
ykcy	莹
ykkn	婴
ykkn	鹦
ykmn	樱
ykug	硬
ykwf	赢
yrbd	冤
yree	院
yrix	原
yrkr	员
yrsu	缘
yrxn	鸳
yrze	远
ysdy	涌
ysdn	永
ysgl	庸
ysky	咏
ysry	佣
ytka	曰
ytsu	约
ytye	说
yuda	鱼
yuby	宇
yucy	芋
yudk	浴
yugy	庾
yugl	鬻
yuey	屿
yujy	钰
yuqq	狱
yusr	预
yuue	郁
yuwd	玉
yuxx	羽
yuyk	语
yuzy	遇
yybd	匀
yrfy	援
yyse	允
yyys	酝
yzuo	有
yzla	由
yzuk	右
yieq	屹
yiky	咦
yikk	贻
yivr	以
ybvg	龈
ybxb	夤
ybyr	霪
ycmo	杳
ycwf	瑶
yehu	烨
yeye	邺
yhiy	徉
yiby	肄
yidk	漪
yijm	镒
yilx	翊
yiqk	猗
yits	圯
yivc	彝
yiwd	奕
yjjn	鼹
yjjk	铅
yjod	腌
yjuk	研
yjvz	筵
yjwh	琰
yjxq	恹
ykgo	膺
ykmm	楹
yknm	盈
yrde	沅
yrvv	箢
yrwy	瑗
ysiy	蛹
yswf	雍
ysxl	慵
ytjv	钺
yucy	萸
yufd	揄
yukk	圄
yuld	禺
yure	觎
yuvl	聿
yuyy	谀
yydr	殒
yyer	陨
yyss	纭
yyuh	熨
yyvd	筠
yywm	韫
yzay	鱿
yzby	疣
yziz	蝣
yzjy	铀
yhjp	飏
yzpk	祐
yjma	验
yzmy	柚
yeum	馌
zajm	杂
ziky	吱
ziye	鄑
zidm	粢
zcdm	澡
zdui	载
zibz	字
zidr	资
zjkz	咱
zoov	昨
zoug	左
zrjk	钻
zsbx	总
zsbx	宗
zsmx	棕
zssr	纵
zufu	族
zvvy	觜
zzft	揍
zyfc	撙
zakj	咂
zcyk	凿
zekr	啧
zevv	笮
zgso	缯
zidr	渍
zijt	锱
zimu	梓
zuju	镞
zuwu	卒
zwku	贼
zzyy	诹
zsrx	偬
zoev	阼
zzde	邹
zckm	噪
