dmv	簟
jtx	警惕性
jub	记事本
jxx	局限性
jyw	局域网
kud	跨时代
lib	里程碑
ljf	龙卷风
ljh	两句话
lnr	老年人
lvu	两只手
lwt	老顽童
lyf	六月份
lyy	懒洋洋
qkl	巧克力
qkx	情况下
qly	千里眼
qmv	敲门砖
qpx	起跑线
qrj	情人节
qtc	潜台词
ufl	说服力
ujv	石家庄
uly	势利眼
uud	摄氏度
uvf	省政府
uvy	受制于
vfb	支付宝
vfx	正方形
vir	主持人
vxz	直性子
wuj	卫生间
wwh	无外乎
xbd	想不到
xbx	行不行
xlx	想了想
xly	叙利亚
xmw	下马威
xmy	小蛮腰
xtx	先天性
xuj	洗手间
xux	学术性
xyj	西游记
xys	小意思
ybu	又不是
ycx	一次性
yhh	晕乎乎
yjh	一句话
yjx	郁金香
yux	艺术性
yvy	以至于
zym	座右铭
hvy	呼之欲出
uul	姗姗来迟
ahqi	爱恨情仇
anqi	暗器
bajn	芭蕉
bauu	不谙世事
bbdd	斑斑点点
bbff	本本分分
bbjl	变本加厉
bbjj	边边角角
bbll	斑驳陆离
bbvu	秉笔直书
bcbn	保镖
bcdc	报到
bcfu	包袱
bcic	包抄
bcvl	悲从中来
bcww	保卫
bcxl	不辞辛劳
bcyz	包邮
bdbu	不打不相识
bdfh	摆放
bdjm	拜见
bdju	博大精深
bdyv	不得已而为之
bdyy	膀大腰圆
bfvy	捕风捉影
bgbj	毕恭毕敬
bibh	不吃不喝
bijm	比肩
biyi	鄙夷
biyj	鼻炎
bixm	避险
bjbm	不紧不慢
bjbu	八九不离十
bjdc	半岛
bjjx	别具匠心
bjly	病急乱投医
bjvm	不解之谜
bjye	不绝于耳
bjyg	不拘一格
bjyj	不经意间
bjzv	并肩作战
bkbc	禀报
bkby	闭口不言
bkbm	不可避免
bkdd	不可多得
bkfg	不可分割
bkfw	不可方物
bkjy	不可救药
bkkj	不可抗拒
bkru	不可饶恕
bktd	不可替代
bkth	不可调和
bkuu	不可收拾
bkvf	不堪重负
bkvu	不可战胜
bkwh	不可挽回
bkxl	不可限量
bkyu	不可一世
bkyy	不可言喻
blbq	变来变去
blwy	暴露无遗
bmdi	贬低
bmdv	本末倒置
bmju	边距
bmll	八面玲珑
bmsy	不明所以
bmvi	贬值
bmvv	拔苗助长
bmyi	编译
bmyu	百密一疏
bmzi	闭门造车
bndj	百年大计
bofu	拨付
boji	搏击
boli	剥离
bquj	不求上进
bqgy	毕其功于一役
bubj	笨手笨脚
bubu	半生不熟
budd	板上钉钉
budv	部队
bufd	不施粉黛
bujq	补救
bulm	不识庐山真面目
bumj	不胜枚举
buuu	跋山涉水
buxi	补习
buyt	不是冤家不聚头
buyu	捕鱼
bwjn	不畏艰难
bwjx	不畏艰险
bwke	贝壳
bwll	百无聊赖
bwqi	背弃
bwru	不外如是
bwuu	不问世事
butj	不识抬举
bwyy	百无一用
bxby	报喜不报忧
bybu	百依百顺
byqf	比翼齐飞
cike	刺客
ciyu	赐予
couh	挫伤
coui	错失
cvcj	摧残
davh	大涨
dbyf	独霸一方
dcdj	捣蛋
dcdb	大操大办
dcju	打草惊蛇
dcyj	多此一举
dddd	单打独斗
dddv	得道多助
ddgg	嘀嘀咕咕
dduu	多多少少
ddvj	大道至简
ddvi	独到之处
ddvv	跌跌撞撞
ddww	胆大妄为
ddyj	大跌眼镜
ddyu	多多益善
deld	吊儿郎当
dggr	达官贵人
dguh	电光石火
djgh	担纲
dhbj	大惑不解
dhlu	调虎离山
dibu	地步
dida	滴答
didh	大吃大喝
didn	大吵大闹
didr	低端
diug	多愁善感
dixc	独出心裁
diyj	大吃一惊
diyu	地狱
djbo	淡泊
djge	耽搁
djju	打家劫舍
djjx	独具匠心
dmbo	点播
dmdh	独门独户
dmfu	垫付
dnxl	冬暖夏凉
dsds	颠三倒四
dsjk	东京
dsjd	第三季度
dsui	董事
dudj	动手动脚
duju	独具
duqu	独善其身
dusi	毒死
dusu	打蛇随棍上
duve	滴水之恩
duxp	东施效颦
dvqj	洞烛其奸
dvvy	地主之谊
dvxy	斗转星移
dzbj	丢卒保车
dzli	斗笠
eeyy	恩恩怨怨
ffbp	愤愤不平
ffff	反反复复
ffhh	分分合合
ffii	浮浮沉沉
ffmm	方方面面
ffvj	泛泛之交
ffww	氛围
ffyy	沸沸扬扬
fgmi	风靡
fguf	奉公守法
fgxp	凤冠霞帔
fgyj	反戈一击
fhjb	非黑即白
fhvi	纺织
fhyr	防患于未然
fjbh	分久必合
fjif	反衬
fjyt	翻越
flfq	飞来飞去
fubn	浮标
fufu	分身乏术
fuii	俯首称臣
funv	妇女
fuqm	付钱
furc	富饶
futp	粉饰太平
fuxm	复现
fuyb	放手一搏
fuyu	赋予
fuzu	飞沙走石
fwdj	防微杜渐
fwuv	福无双至
fyfy	附庸风雅
gcdm	光彩夺目
gdly	光打雷不下雨
gdri	古道热肠
gdzi	功到自然成
ggjn	呱呱叫
ggbu	狗改不了吃屎
ggdd	归根到底
ggih	公共场合
ggjj	规规矩矩
ggvv	功高震主
ghgj	各回各家
ghlp	鬼话连篇
gjbu	高居榜首
gjgl	国际惯例
gjgr	孤家寡人
gjiu	故技重施
gjlu	过街老鼠
gjyu	敢于
glhx	告老还乡
glxi	寡廉鲜耻
gmll	功名利禄
goui	果实
gsdm	宫殿
gsdj	哥斯达黎加
gsff	公愤
gsfu	工夫
gske	攻克
gsli	功力
gstz	公投
gsui	共识
gsvg	公证
gsyi	公益
guds	古董
guge	骨骼
guli	孤立
gulu	高山流水
guui	鬼使神差
guvh	鼓掌
guyi	更胜一筹
guyr	孤身一人
gvji	归集
gvjj	各执己见
gvmi	闺蜜
gvnm	孤掌难鸣
gvru	狗仗人势
gvyi	皈依
gvyr	柜员
gvyv	高瞻远瞩
gxgv	改弦更张
gykd	狗眼看人低
gylb	狗咬吕洞宾
gzwv	各自为战
hbdi	何必当初
hblq	毫不留情
hbxu	恨不相逢未嫁时
hcdm	耗电
hdbj	皇帝不急太监急
hdhu	患得患失
hdiu	华灯初上
hdly	寒冬腊月
hdmm	海面
hduh	河东狮吼
hdwj	荒诞无稽
hdyu	轰动一时
hebu	华而不实
hezi	合资
hhhh	含含糊糊
hhjj	悔恨交加
hhll	花花绿绿
hhvv	鸿鹄之志
hhxk	环环相扣
hhyy	晃晃悠悠
hjbf	合久必分
hjds	撼动
hjhu	换句话说
hjlu	行家里手
hjyr	后继有人
hkiu	横空出世
hldj	画龙点睛
hlhq	晃来晃去
hlhu	花里胡哨
hlhx	活灵活现
hljb	汗流浃背
hljq	鹤立鸡群
hlmm	汗流满面
hluj	花落谁家
hlyj	晃眼
hrgu	恍如隔世
hrbj	浑然不觉
hrjp	缓解
hrww	恍若未闻
hrxi	换洗
hryh	浩如烟海
hubm	好事不出门
hudm	好事多磨
hudu	好说歹说
huhr	呼唤
hujn	胡椒
huld	欢声雷动
huli	护理
hulu	呼噜
humw	混世魔王
huui	护士
huuy	含沙射影
huxu	浑身解数
hvbn	会者不难
hvju	货真价实
hvqi	哗众取宠
hvse	晦涩
hvwu	会晤
hwyi	毫无用处
hwyy	毫无怨言
hxbd	横行霸道
hxds	滑动
hxfy	祸兮福所倚
hxhy	活学活用
hxxl	滑翔
hyhx	忽隐忽现
hyrj	慧眼如炬
hyuv	慧眼识珠
hyvj	红颜知己
hywl	好逸恶劳
hyys	和颜悦色
iauz	插手
iayi	诧异
icui	潮湿
idji	船到江心补漏迟
idqm	差遣
ieuh	扯上
ifhy	春风化雨
ifru	超凡入圣
ifts	超凡脱俗
ifxv	冲锋陷阵
igql	城墙
igjm	承建
igli	出乖露丑
igxn	承销
ihdd	晨昏颠倒
ihdu	长话短说
ihqu	春华秋实
ihqy	春花秋月
ihui	常识
ihxm	尝鲜
iidd	彻彻底底
iily	垂垂老矣
ijiu	蟾蜍
imyy	臭名远扬
iqlz	臭棋篓子
irbo	船舶
irru	怅然若失
irqi	喘气
isfg	重逢
isji	冲剂
isjk	崇敬
isvi	重置
iubj	处事不惊
iubu	长盛不衰
iuid	成双成对
iufa	处罚
iuug	畜生
iuxi	除夕
iuxx	重拾信心
iuvj	乘胜追击
iygs	察言观色
izhx	丑化
izyh	姹紫嫣红
jbdr	见不得人
jbgu	禁锢
jbif	久别重逢
jbjb	紧紧
jbku	机不可失
jbqy	坚壁清野
jbrf	间不容发
jbtm	金榜题名
jbwj	举步维艰
jbxq	进修
jeyv	敬而远之
jibf	家常便饭
jidu	嫉妒
jifu	绝处逢生
jigr	籍贯
jihv	忌讳
jijk	鸡精
jill	饥肠辘辘
jinm	纪念
jirz	鸡肉
jisi	缉私
jisv	精诚所至
jitj	精诚团结
jiuu	既成事实
jivi	机智
jivj	挤占
jixk	畸形
jiya	积压
jiyu	觊觎
jjii	加减乘除
jjuu	句句属实
jkdm	景点
jkyj	惊艳
jkgr	警官
jkji	荆棘
jkli	经理
jklv	几可乱真
jkmi	静谧
jkqi	景气
jkvi	静止
jkvj	艰苦卓绝
jkvs	敬重
jkww	警卫
jkxl	景象
jkxr	竞选
jkyk	晶莹
jmcd	剪裁
jmdc	剪刀
jmdk	鉴定
jmgu	坚固
jmia	监察
jmjp	见解
jmju	艰巨
jmjy	假模假样
jmrf	贱人
jmuh	肩上
jmui	监视
jmvh	近墨者黑
jmxb	艰辛
jmxi	奸细
jmyu	监狱
jnhv	交汇
jnjb	较劲
jnho	搅和
jnji	焦急
jnjm	矫健
jnjp	交界
jnqk	矫情
jnui	教室
jnvu	教主
jnvh	倦鸟知还
jnxn	叫嚣
jpdu	解毒
jpiu	解除
jpjb	解禁
jpjk	洁净
jpjm	节俭
jpmi	揭秘
jpti	阶梯
jpui	结实
jpvi	戒指
jpvj	旧瓶装新酒
jpxi	结息
jqbd	举棋不定
jqdm	九点
jqjq	救救
jqju	驾轻就熟
jqyr	久远
jrbt	迥然不同
jrjv	尽人皆知
jubm	见势不妙
jubu	井水不犯河水
juds	精神抖擞
juit	旧事重提
jujm	尽善尽美
jutz	举手投足
juuj	江山社稷
juxl	计上心来
juyr	假手于人
jwjy	据为己有
jxby	坚信不疑
jxfh	即兴发挥
jxho	嫁祸
jxhz	居心何在
jxjl	尽心尽力
jxju	加剧
jxjy	将信将疑
jxxk	假惺惺
jxxl	假象
jxyi	甲乙
jysu	节衣缩食
jyvu	郡主
jyxm	军衔
jyyx	锦衣夜行
kbky	苦不堪言
kddc	开刀
kdiu	苦大仇深
kdvj	开战
kjjx	砍价
kkbb	磕磕巴巴
kkww	坑坑洼洼
klwu	颗粒无收
kvbf	口诛笔伐
kvsy	开枝散叶
kzfw	枯燥乏味
lbcx	聊表寸心
lbjp	拉帮结派
lbju	两败俱伤
lchx	老花
lcnm	郎才女貌
ldug	落地生根
lgjy	立竿见影
lglm	利国利民
lgxt	锣鼓喧天
lgxu	论功行赏
lhdu	利害得失
lhiq	灵魂出窍
licd	理睬
lild	历朝历代
liqq	立秋
lirf	冷嘲热讽
livi	荔枝
lixk	例行
ljiz	离家出走
ljjh	浪迹江湖
lkyh	羚羊
llbb	搂搂抱抱
llbu	恋恋不舍
lldd	唠唠叨叨
lldm	亮点
llhh	来来回回
llid	绫罗绸缎
llmm	泪流满面
llqm	来龙去脉
llqq	冷冷清清
llss	啰啰嗦嗦
lltt	玲珑剔透
llvc	沦落至此
llvh	利令智昏
llwj	寥寥无几
llww	碌碌无为
llxx	陆陆续续
llyx	流落异乡
lmdc	连蒙带猜
lmsd	两面三刀
losi	螺蛳
lqli	琉璃
lqqm	两全其美
lqsj	离群索居
lqui	流逝
lrbj	利人不利己
lril	令人齿冷
lrdh	令人胆寒
lrgd	令人感动
lrvj	令人震惊
lsdr	理所当然
lsmf	牢骚满腹
ltgo	掠过
ltyy	路途遥远
ludv	劳师动众
luhu	乐善好施
luqu	绿水青山
luru	料事如神
luvi	卤汁
luyy	良师益友
lvdd	列支敦士登
lvuy	力争上游
lvye	略知一二
lwji	累积
lybd	立于不败之地
lybj	络绎不绝
lyhx	龙吟虎啸
lyli	伶牙俐齿
lyvg	洛阳纸贵
lyvu	燎原之势
lyxy	临渊羡鱼
mahx	没安好心
mbgs	面不改色
mbvu	名不正言不顺
mbzu	默不作声
mccc	茅草
mfjl	满腹经纶
mfmm	每分每秒
mggu	马革裹尸
mgrj	目光如炬
mguz	蒙受
mgyj	卖官鬻爵
mgyz	盟友
milj	糜烂
mklu	猫哭老鼠
mklq	门可罗雀
mkyx	眉开眼笑
mlsu	名落孙山
mmif	满面春风
mmiy	满目疮痍
mmll	忙忙碌碌
mmqm	莫名其妙
mmqq	勉勉强强
mmrh	茫茫人海
mmuj	名门世家
mmuu	冒冒失失
mmul	明眸善睐
moli	茉莉
mtdh	弥天大谎
muji	募集
muln	幕僚
mumk	每时每刻
muui	牧师
muvu	没事找事
mvyu	莫衷一是
mwhx	美化
mwrs	面无人色
mwmc	美貌
mwzv	目无尊长
myjj	名言警句
njgc	鸟尽弓藏
njhd	南海
nnnn	扭扭捏捏
nuzu	能省则省
nvgv	能征惯战
nvwu	能者为师
paug	爬升
pddu	屁大点事
pdpd	屁颠屁颠
pdvu	普度众生
pgld	披肝沥胆
phbd	飘忽不定
pifa	疲乏
piyj	排除异己
pjtc	叛逃
pjve	攀折
pkdm	破口大骂
pmnj	拍马难及
qbkz	岂不快哉
qblk	曲不离口
qbuz	禽兽
qibd	取长补短
qibk	千疮百孔
qidm	七点
qidr	奇耻大辱
qiff	气愤
qifu	起伏
qigd	牵肠挂肚
qihx	企划
qiji	契机
qill	气量
qima	骑马
qipc	旗袍
qitu	歧途
qiwb	千差万别
qixi	栖息
qixx	气喘吁吁
qiya	欺压
qiyi	起义
qiyt	契约
qizi	棋子
qkdi	轻敌
qkdj	清淡
qkdu	旗开得胜
qkfu	轻浮
qkiu	清除
qkjn	青椒
qkjp	情节
qkld	穷困潦倒
qklk	轻灵
qktk	蜻蜓
qkuh	情商
qkui	轻视
qkxb	轻信
qkxi	清洗
qkxk	庆幸
qkxl	清香
qlbc	襁褓
qljq	黔驴技穷
qlmm	巧立名目
qlvf	勤劳致富
qmdj	奇门遁甲
qmig	虔诚
qmly	青面獠牙
qmnm	前年
qmuz	牵手
qmve	牵着
qmvi	潜质
qmwj	亲密无间
qmxm	牵线
qmyj	前言
qmzz	欠揍
qnmf	窍门
qqbb	清清白白
qqdd	清清淡淡
qqff	起起伏伏
qqhe	齐齐哈尔
qquu	清清爽爽
qqww	卿卿我我
qqyu	穷其一生
qrbj	求人不如求己
qrig	全称
qrui	诠释
qtbj	齐头并进
qtui	缺失
qtwx	千挑万选
qtyh	情投意合
qubj	七手八脚
qujt	强身健体
quju	前世今生
qulu	青山绿水
qurh	巧舌如簧
quvh	敲山震虎
quxx	气势汹汹
quyu	趋于
qyfu	牵一发而动全身
rbrg	人不人鬼不鬼
rfuf	妊娠
rfyr	日复一日
rurh	如诗如画
sdvi	所到之处
sebj	死而不僵
sifh	私房
sild	死缠烂打
siln	饲料
sjri	四季如春
sjyb	死记硬背
slbj	四两拨千斤
srww	索然无味
ssjb	松紧
ssuu	松树
sucd	素菜
sudj	丧失殆尽
suln	似水流年
suwj	四书五经
syf	三月份
tdyr	太原
thdd	天寒地冻
thsb	谈虎色变
titv	同吃同住
tiuf	替身
tjfu	条件反射
tjjq	囤积居奇
tjqb	弹琴
tjuh	偷奸耍滑
tmdj	恬淡
tmks	填空
tmxk	天马行空
tpti	踏破铁鞋无觅处
tsbc	同胞
tsji	通缉
tsvi	同志
tucg	同室操戈
tudi	徒弟
tujq	投鼠忌器
tul	太少了
tvmf	涂脂抹粉
tuvu	他山之石
tuxi	铁石心肠
tvyj	弹指一挥间
txdd	通宵达旦
tzdu	天造地设
tzgs	天姿国色
ubdl	舍不得孩子套不住狼
ubgq	事必躬亲
ubnu	胜败乃兵家常事
uccd	说曹操曹操到
udji	鼠肚鸡肠
udqi	首当其冲
uejm	射箭
uexl	设想
ufbj	尚方宝剑
ufcd	神采
ufgg	是非功过
ufqk	神情
ufse	神色
ufuu	顺风顺水
ufyr	深远
ugy	上个月
ughv	盛会
ugvh	省长
ugwh	尸骨未寒
ugxk	生性
ugxm	圣贤
ugyu	声誉
uhdd	神魂颠倒
uhll	伤痕累累
uhlm	山花烂漫
uhui	赏识
uhuu	实话实说
uhvl	事后诸葛亮
uhwh	伤亡
uhwu	商务
uhxm	上限
uidd	说长道短
uidh	石沉大海
uifj	师范
uifu	师父
uiih	时常
uiks	失控
uili	势力
uilq	石榴
uipb	食品
uipw	失陪
uiqi	十七
uiqu	市区
uirj	受宠若惊
uisj	失散
uitm	师出同门
uivh	师长
uivi	食指
uivj	施展
uiwu	十五
uixm	视线
uiye	视野
uiyi	事宜
uiyj	试验
uiyz	石油
ujbb	身价百倍
ujbm	拾金不昧
ujdg	伤筋动骨
ujds	煽动
ujxi	陕西
ujxm	身家性命
ulbs	十里不同俗
ulbw	上梁不正下梁歪
uljx	声泪俱下
uqlr	恃强凌弱
uryh	拾人牙慧
uryy	授人以渔
uubf	身手不凡
uudd	世世代代
uudm	世事洞明
uudu	审时度势
uuhr	水深火热
uuji	书籍
uuli	树立
uull	顺顺利利
uumm	神神秘秘
uumu	树木
uuqy	舍生取义
uure	声声入耳
uuuf	孰是孰非
uuul	省时省力
uuuu	生生世世
uuuv	善始善终
uuvh	杀身之祸
uuwd	熟视无睹
uuxx	上上下下
uuyi	稍胜一筹
uuzv	恕罪
uuzx	时势造英雄
uvbw	胜之不武
uvbx	身正不怕影子斜
uvdy	失之东隅
uvgj	首战告捷
uvjb	失之交臂
uvmg	实至名归
uvww	食之无味
uvyr	受制于人
uvyu	少之又少
uwvi	顺我者昌
uxlm	双喜临门
uxxi	蛇蝎心肠
uyyj	顺延
uzch	身在曹营心在汉
uzhz	守候
uzju	稍纵即逝
uzlk	十字路口
uzui	首饰
uzuh	受伤
uzvi	收支
uzww	首位
uzyh	收养
vcyc	招摇
vdqu	照单全收
vdyu	掷地有声
vefu	周而复始
vfff	知法犯法
vfia	侦察
vfjk	镇静
vfvy	照方抓药
vfwh	指腹为婚
vgjp	正解
vgqr	政权
vgvi	争执
vgvj	中规中矩
vgwu	至高无上
vgy	这个月
vhfu	涨幅
vhmj	追悔莫及
vici	致辞
vidk	制定
vihz	滞后
viig	职称
viiu	支出
vijb	纸巾
vijx	支架
vijk	致敬
vild	争长论短
vili	智力
vimk	知名
viuh	智商
vivh	纸张
vivi	制止
vivu	支柱
viwu	职务
vixx	直辖
viya	枝丫
viyi	质疑
viyr	职员
vize	指责
vjdm	针尖对麦芒
vjui	战士
vjww	朝九晚五
vjyz	战友
vlvq	直来直去
vqyu	珍禽异兽
vsdr	终端
vsji	终极
vsjp	终结
vsvi	中指
vudu	终身大事
vufu	嘱咐
vugr	主观
vulq	驻留
vulu	著书立说
vumk	著名
vuqr	仗势欺人
vuru	诸如
vuvd	众矢之的
vuvf	重赏之下，必有勇夫
vuww	助威
vuyi	主义
vuyr	祝愿
vvbu	照章办事
vvjj	战战兢兢
vvju	长长见识
vvqq	整整齐齐
vvru	蒸蒸日上
vvsu	置之死地而后生
vvuu	知之甚少
vvvv	真真正正
vvww	支支吾吾
vxqu	直系亲属
vygu	只要功夫深
vyvy	睁一只眼，闭一只眼
wbwj	文本文件
wdyh	闻道有先后
wfhe	吻合
wfsd	威风扫地
wfyi	瘟疫
whzi	为虎作伥
wjbc	无坚不摧
wjbf	万劫不复
wjdc	无精打采
wjhv	挽回
wjku	无计可施
wjnm	晚年
wjtz	物竞天择
wjwu	无拘无束
wjyj	蜿蜒
wlbz	无利不起早
wlkt	无利可图
wlxu	歪理邪说
wubd	为数不多
wubj	无商不奸
wudc	误导
wugs	蜈蚣
wugu	无故
wugz	为时过早
wujb	万事俱备
wuli	无理
wuni	忤逆
wuqu	万水千山
wuuf	无事生非
wuuv	午睡
wuwj	畏手畏脚
wuww	畏首畏尾
wuxm	诬陷
wuxx	无暇
wuyi	无疑
wuyr	勿施于人
wuyy	巫山云雨
wvvb	瓮中之鳖
wwdy	文无第一
wwlw	物我两忘
wwmm	卫冕
wwnn	歪歪扭扭
wwqi	围棋
wwqq	弯弯曲曲
wwsv	玩物丧志
wwvv	完完整整
wwvy	唯物主义
www	呜呜呜
wwxp	猥亵
wwyu	万无一失
wwzi	五味杂陈
wxdy	妄下断语
wyym	惟有饮者留其名
xbji	心急
xbli	心理
xbrm	小不忍则乱大谋
xbtg	心比天高
xbuf	刑不上大夫
xbuv	邪不胜正
xbxj	虾兵蟹将
xbxk	新兴
xbyi	心仪
xdxx	想东想西
xdyv	相得益彰
xgcl	星光灿烂
xidx	新陈代谢
xijn	西郊
xili	洗礼
xini	悉尼
xiqu	吸取
xiui	稀释
xiuu	洗漱
xiuy	相差甚远
xiuz	洗手
xiwj	相差无几
xiww	喜出望外
xixb	悉心
xixt	戏谑
xiyi	蜥蜴
xjyk	席卷一空
xkmk	性命
xkui	形势
xlcd	笑里藏刀
xlfh	降龙伏虎
xlih	血流成河
xljn	橡胶
xlqb	星罗棋布
xlqm	镶嵌
xlrv	血流如注
xltj	泄露天机
xluh	心领神会
xlxx	向下
xlxy	笑脸相迎
xlyk	响应
xlyt	吓了一跳
xmlu	显露
xmui	现实
xmuf	献身
xmyj	蓄谋已久
xmyz	心满意足
xnug	笑声
xnvh	嚣张
xnyr	小鸟依人
xnyu	血浓于水
xpdd	懈怠
xpdk	血盆大口
xppo	胁迫
xpzi	写字
xqlm	贤妻良母
xqlu	小桥流水
xrdj	心如刀绞
xtxk	血型
xtye	血液
xubn	心神不宁
xubq	形势比人强
xuhh	心神恍惚
xujq	酗酒
xumu	喜上眉梢
xuyx	修身养性
xxbb	修修补补
xxdd	絮絮叨叨
xxhu	险象环生
xxie	瞎扯
xxil	新鲜出炉
xxji	相形见绌
xxll	稀稀拉拉
xxmm	寻寻觅觅
xxnn	心心念念
xxss	潇潇洒洒
xxuu	虚虚实实
xxvi	夏至
xxvv	雄心壮志
xxxl	遐想
xxxm	下限
xxyi	先下一城
xxyu	纤纤玉手
xxxy	心心相印
xxy	小心眼
xxyy	香消玉殒
xyfu	咸鱼翻身
xygu	宵衣旰食
xylm	悬崖勒马
xysi	学有所成
xysu	心有所属
xyyj	心有余悸
xyyz	心有余而力不足
yavi	雅致
yayy	押运
ybuf	引申
ybbb	以不变应万变
ybbc	以备不测
ybbn	欲罢不能
ybbd	摇摆不定
ybdu	引渡
ybju	一般见识
ybkj	愚不可及
yblv	眼波流转
ybmu	一笔抹杀
ybni	隐匿
ybrc	一表人才
ybru	用兵如神
ybyt	隐约
ybyu	阴郁
ybyy	有板有眼
ybyz	一兵一卒
ycgj	一寸光阴一寸金
ycjb	由此及彼
yckj	由此可见
ycyj	耀眼
ydbu	有得必有失
ydfu	愿赌服输
ydyu	有胆有识
ygbv	衣冠不整
ygqu	衣冠禽兽
yhbk	有何不可
yhdx	银河倒泻
yhuu	一回生二回熟
yhvu	有话直说
yhwh	养虎为患
yhyj	养颜
yhyu	养育
yibb	一成不变
yibd	扬长避短
yibr	一尘不染
yibx	阳春白雪
yidr	以诚待人
yidy	一锤定音
yifu	依附
